@relation timetagging

@attribute gloss string
@attribute class {past, present, future, neutral}



@data
'जो न लिया गया हो या जिसको ग्रहण न किया गया हो ',present
'जिसे अर्जित किया गया हो या कमाया गया हो ',present
'अपना सुख-दुख प्रगट न करने वाला ',past
'अधिक लाड़ प्यार वाला ',neutral
'हर काम को अच्छी तरह से अमल करने वाला या अपने कर्तव्य का भली-भाँति पालन करने वाला ',past
'अंत तक जाने वाला ',neutral
'बराबर रहने या काम करने वाला या सदा बना रहने वाला ',past
'वह जिसका अधिरोप किया गया हो (अपराध) ',present
'गणना में इक्कानबे के स्थान पर आने वाला ',future
'गणना में चौरासी के स्थान पर आने वाला ',future
'प्रलाप करने वाला या पागलों की तरह व्यर्थ की बातें बोलने वाला ',past
'गणना में तिरपन के स्थान पर आने वाला ',future
'बहुत अधिक या बढ़-चढ़कर बोलने वाला ',neutral
'जिसका ऊर्ध्वपातन किया गया हो ',present
'गणना में चार के स्थान पर आने वाला ',future
'बहुत पादने वाला ',neutral
'उसी समय का ',neutral
'जिसका निषेध किया गया हो ',present
'चतुराई से काम करने वाला ',past
'घर का बना ',neutral
'जिसे छुआ या स्पर्श किया गया हो ',present
'बायें हाथ से काम करने वाला या हाथ के काम में जिसका बायाँ हाथ ज्यादा चले ',past
'जिसमें अधिक समय लगे ',neutral
'हर पाँचवें महीने होने वाला ',neutral
'बहुत गहरे परिणाम वाला ',neutral
'अस्वीकार करने या न मानने वाला या नहीं कहने या करने वाला ',past
'तीन आयामों वाला ',neutral
'जिसने क़ब्ज़ा किया हो या जो क़ब्ज़ा करता हो ',present
'गणना में दो के स्थान पर आने वाला ',future
'बहुत समय तक जानेवाला ',neutral
'बारहो महीने होने वाला ',neutral
'जिसका परिष्करण हुआ हो या किया गया हो ',present
'गणना में साठ के स्थान पर आने वाला ',future
'गणना में पंचानबे के स्थान पर आने वाला ',future
'जिसका विधान किया गया हो ',present
'सामने वाला या सामने का ',neutral
'विक्रय हेतु बना बनाया ',neutral
'सभी जगह लागू होने वाला या सब जगह एक जैसे होने वाला ',neutral
'जिसका विस्तार हुआ हो या किया गया हो ',present
'गणना में सत्तासी के स्थान पर आने वाला ',future
'जल्दी गुस्सा होने वाला ',neutral
'जिसका संचार किया गया हो या हुआ हो ',present
'हर समय पिनपिनाने वाला ',neutral
'बिना पैर का या बिना पैर वाला ',neutral
'भाव से भरा हुआ या हृदय को प्रभावित करने वाला ',past
'जँचने वाला ऊँचे क़द एवं काठी का ',neutral
'गणना में बानबे के स्थान पर आने वाला ',future
'कई देशों में काम करने वाला या कई राष्ट्रों को शामिल करने वाला ',past
'नाम का या नाम वाला ',neutral
'वस्तुएँ, सेवाएँ आदि का उपभोग करने वाला या उन्हें काम में लाने वाला ',past
'जो समर्पण किया गया हो ',present
'जिसका उच्चारण करते समय स्वरतंत्रियाँ झंकृत होती हों ',neutral
'कुछ न बोलने वाला या प्रतिक्रिया न करने वाला ',past
'दिन निकलने का समय होना ',neutral
'अंतिम साँस लेने या मरने का समय ',neutral
'गणना में हज़ार के स्थान पर आने वाला ',future
'गणना में तेरह के स्थान पर आने वाला ',future
'वह जिसने आवेदन न किया हो ',present
'रात के बीच का समय या रात के बारह बजे का समय ',neutral
'जिसका अधिग्रहण किया गया हो ',present
'गणना में पाँच के स्थान पर आने वाला ',future
'मुहर्रम का दसवाँ दिन ',neutral
'जैन मतानुसार मरने का समय निकट जानकर अन्न-जल का परित्याग ',neutral
'किसी का अहित आदि करने के लिए छिपे रूप से उचित समय का इंतजार करना ',past
'किसी घटना या काम की समयावधि या समय मापना या किसी व्यक्ति द्वारा किसी कार्य को संपादित करने में लगने वाले निश्चित समयावधि या समय को मापना ',past
'वह जिसने कोई अपराध किया हो ',present
'आठ दिन का समय ',neutral
'जिसने स्नान किया हो ',present
'युद्ध रत दलों का कुछ नियत समय के लिए अस्थायी रूप से युद्ध बंद करने या युद्ध बंद होने की क्रिया ',past
'बहुत थोड़ा समय ',neutral
'जितना हो सकता हो या जितना किया जा सकता हो ',present
'रोगी को स्वस्थ करने अथवा रोग का इलाज या उसकी रोकथाम करने के लिए विधिपूर्वक बनाया हुआ पदार्थ ',past
'सूर्यास्त और सूर्योदय के बीच का समय ',neutral
'गणना में इक्कावन के स्थान पर आने वाला ',future
'कुछ समय तक लगातार होनेवाली वर्षा ',neutral
'जिसका अर्जन खुद किया गया हो या जिसे स्वयं प्राप्त किया गया हो ',present
'अनुक्रम से काम करने वाला व्यक्ति ',past
'किस समय तक ',neutral
'हर महीने होने वाला श्राद्ध ',neutral
'दिन निकलने का समय ',neutral
'गणना में सत्रह के स्थान पर आने वाला ',future
'जहाज में माल रखने के लिए बना हुआ स्थान ',future
'अफीम मिलाकर बना एक मादक पदार्थ ',neutral
'वह जिसने आवेदन किया हो ',present
'घास-फूस का बना छोटा घर ',neutral
'किसी मान्य या प्रिय के आने पर आगे बढ़कर आदरपूर्वक किया जाने वाला अभिनंदन ',future
'वर्षा या धूप से बचने के लिए कपड़े आदि का बना हुआ एक आच्छादन जिसमें लगे धातु, लकड़ी आदि के डंडे को हाथ में पकड़ते हैं ',past
'वह छड़ी जिसका सिरा झुका हुआ हो ',present
'फुट से घनफल निकालने पर आने वाला परिमाण ',future
'किसी घटना आदि के बारे में किसी के सामने यह कहने की क्रिया कि हाँ, ऐसा ही हुआ या नहीं हुआ है या ऐसा है या नहीं है ',past
'लोहे का बना कवच ',neutral
'लकड़ी का बना एक साधन जिसका सहारा लेकर साधु लोग बैठते हैं ',neutral
'सभा की बैठक, सुनवाई या अन्य किसी काम को किसी दूसरे समय या दूसरी जगह के लिए रोक देने की क्रिया या भाव ',past
'काठ का बना एक खिलौना ',neutral
'मल त्याग के बाद गुदा धोने के लिए उपयोग में लाया जाने वाला जल ',future
'काग़ज़-पत्र आदि लाने-ले जाने वाला या अधिकारियों के आदेशों को पूरा करने वाला या आवश्यकतानुसार उन्हें रजिस्टर आदि उपलब्ध करने वाला कर्मचारी ',past
'वह महिला जिसने केवल एक बार संतान उत्पन्न किया हो ',present
'काले पंखों वाला एक प्रकार का जांघिल ',neutral
'वह पुत्र जो कुपथगामी हो या बुरे चाल-चलन वाला हो ',present
'अनिश्चित कम समय ',neutral
'पवित्र स्थान पर चढ़ाया जाने वाला कपड़ा ',future
'काँसे का बना पात्र ',neutral
'दूसरा समय और ज़माना ',neutral
'वह जिसका भोग किया गया हो या जिसको व्यवहार में लाया गया हो ',present
'पदार्थों का इंद्रियों द्वारा होने वाला बोध ',neutral
'वह स्त्री जिसका गौना अभी-अभी हुआ हो ',present
'किसी तंत्र की उस ऊर्जा की मात्रा को दर्शाने वाली ऊष्मा गतिकीय मान जो उस समय यांत्रिक काम करने के लिए उपलब्ध न हो ',past
'वह मार्ग जो आच्छादित या ढका हुआ हो ',present
'कई पदों वाले नाम के प्रत्येक पद का आरंभिक अक्षर जिसका प्रयोग प्रायः संक्षिप्त रूप में नाम बताने, हस्ताक्षर करने आदि के समय होता है ',past
'बहुत समय ',neutral
'मैगनेटाइट का बना एक स्थायी चुम्बक पत्थर ',neutral
'बारह चांद्रमासों का समय ',neutral
'जलावन के काम में आने वाला छोटा कंडा ',future
'साधारण या नियत से अधिक समय ',neutral
'वह जिसका ब्याह तुरंत होने को हो या हुआ हो ',present
'काठ का बना एक हथियार ',neutral
'क्रिकेट के खेल में गेंद के बिना मैदान छुए सीमा पर या सीमा के बाहर गिरने पर मिलने वाला छः रन ',future
'वह घाव जो दाँत काटने से हुआ हो ',present
'परमाणु से बना एक महाविनाशक बम ',neutral
'वह वर्ण जिसका उच्चारण तालु से किया जाता हो ',present
'नदी पार करने के लिए लट्ठों आदि से बनाया हुआ वह ढाँचा जो नाव का काम करता है ',past
'वह दिनांक जिस दिन कोई पैदा हुआ हो ',present
'+ गणना में नब्बे के स्थान पर आने वाला साल ',future
'वह जिसने देश के प्रति द्रोह किया हो ',present
'नाइट्रेट का बना एक प्रध्वंशक ',neutral
'तिल और गुड़ का बना लड्डू ',neutral
'लोहे,बाँस आदि की तीलियों का बना हुआ वह झाबा जिसमें पक्षी, जंतु आदि बंद करके रखे जाते हैं ',past
'मिट्टी का बना एक छोटा, गोलाकार पात्र ',neutral
'+गणना में तेईस के स्थान पर आने वाला साल ',future
'+ गणना में पचास के स्थान पर आने वाला साल ',future
'काठ का बना कटोरा ',neutral
'+ गणना में तीस के स्थान पर आने वाला साल ',future
'बैंक आदि के द्वारा बना हुआ वह दस्तावेज़ जिस पर रुपए की एक राशि और इस रुपए को पाने वाले व्यक्ति, बैंक आदि का नाम अंकित होता है ',past
'काठ का बना एक बरतन ',neutral
'अनाज फटकने का सींकों आदि का बना एक उपकरण ',neutral
'वह जिसने परसा धारण किया हो ',present
'घुटनों तक लटकता हुआ एक प्रकार का पहनावा ',neutral
'+गणना में पचीस के स्थान पर आने वाला साल ',future
'वह तंत्र जिसमें मनमाने तरीके से उपेक्षा करते हुए कोई कार्य आदि अशृंखलाबद्ध तरीके से लटका रहता है यानि समय पर पूरा नहीं होता है या आवश्यकता से अधिक समय लेने वाली शासन प्रणाली ',past
'कोई काम (विशेषतः अनुपयुक्त या अनुचित काम) करते समय मन को होनेवाला यह औचित्यपूर्ण विचार कि इस काम से बड़ों के मान को ठेस लगेगी ',past
'तीन चोटियों वाला पहाड़ ',neutral
'मैदे का बना एक नमकीन पकवान ',neutral
'मिट्टी का बना एक बरतन ',neutral
'वह जिसने टॉप किया हो ',present
'वह ज्वर जिसे चढ़े सात दिन हो गया हो ',present
'+ गणना में चौबीस के स्थान पर आने वाला साल ',future
'किसी वस्तु को बनाने से पूर्व उसके अंगों को जोड़कर तैयार किया हुआ वह पूर्व रूप जिसके बीच में कोई वस्तु जमाई अथवा लगाई जा सके ',past
'धान काटने का समय ',neutral
'तीन बूटियों वाला ताश का पत्ता ',neutral
'अपने हाथ से लिखा हुआ अपना नाम जो किसी लेख आदि को प्रमाणित करने या उसके उत्तरदायित्व की स्वीकृति का सूचक होता है ',past
'मृत कृत्य का दसवाँ दिन ',neutral
'लम्बे समय तक बना रहने वाला जीवन ',neutral
'वह राजा जिसका अभिषेक शास्त्रानुसार किया गया हो ',present
'भारत में भक्ति आन्दोलन के समय के सबसे महत्वपूर्ण दार्शनिकों में से एक जो तत्ववाद नामक द्वैत दर्शन के प्रचारक थे ',future
'कल कारख़ाने आदि में काम करने का वह या उतना निर्धारित समय जिसमें एक कर्मचारी या कर्मचारी दल आकर कार्य करता है ',past
'उड़ते समय होनेवाला परों का शब्द ',neutral
'किसी व्यक्ति या मद से लिया हुआ या व्यय किया हुआ धन उसे देकर उसकी पूर्ति करने की क्रिया ',past
'बेल्जियम का रहने वाला ',neutral
'वह जो किसी स्थान पर किसी समय में घटित होता हो ',future
'चारों ओर से खुला हुआ वह मकान जो एक ही खंड या मंजिल का हो ',present
'पीतल का बना घड़ा ',neutral
'काले फलों वाला एक कँटीला पौधा ',neutral
'एक उड़ने वाला छोटा कीड़ा ',neutral
'जीवाणुओं द्वारा होने वाला संक्रमण ',neutral
'गौ जाति का बधिया किया हुआ वह नर चौपाया जो कलों और गाड़ियों में जोता जाता है ',present
'गौतम बुद्ध का समय ',neutral
'+ गणना में बीस के स्थान पर आने वाला साल ',future
'वह निश्चित या स्थिर किया हुआ सर्वमान्य मान या माप जिसके अनुसार किसी प्रकार की योग्यता, श्रेष्ठता, गुण आदि का अनुमान या कल्पना की जाए ',past
'डंक वाला एक ज़हरीला छोटा सरीसृप ',neutral
'पारिश्रमिक आदि का वह अंश जो कोई काम कराने या कोई चीज़ ख़रीदने की बात-चीत पक्की करने के समय पहले लिया या दिया जाता है ',past
'पतली चोंच वाला एक जलपक्षी ',neutral
'ऊँचे स्थान से गिरने वाला जलप्रवाह ',future
'व्याकरण में धातु से बना हुआ वह कृदंत जो क्रिया विशेषण की तरह प्रयुक्त होता है तथा जो यह सूचित करता है कि इस कार्य होने के बाद ही मुख्य क्रिया हुई या होगी ',past
'वह अन्न जो चुना हुआ न हो ',present
'वह जिसने बलात्कार किया हो ',present
'रात के समय फूलने वाला एक सुगंधित फूल ',neutral
'एक छोटा रेंगने वाला बरसाती कीड़ा ',neutral
'रातभर होने वाला आनंदोत्सव ',neutral
'एक जलने वाला पीला खनिज़ पदार्थ ',neutral
'अनिवार्य एवं निश्शुल्क शिक्षा का अधिकार देने वाला कानून ',neutral
'बेलरस का रहने वाला ',neutral
'+ गणना में पैंतीस के स्थान पर आने वाला साल ',future
'तार का बना छल्ला जिससे सितार या वीणा बजाई जाती है ',neutral
'कील के आधार पर घूमने वाला गोलाकार टुकड़ा ',future
'वह अस्त्र जिसका प्रक्षेपण किया जाता हो ',present
'रांगे की कलई की हुई पतली चद्दर का बना हुआ वह चौकोर पात्र जिसमें घी,तेल आदि रखे जाते हैं ',past
'यात्रा के समय मार्ग में ठहरने का स्थान ',future
'मैच का सर्वश्रेष्ठ खिलाड़ी यानि जिसने मैच में सबसे अच्छा प्रदर्शन किया हो ',present
'पृथ्वी या खगोल के किसी भाग की स्थिति आदि के विचार से बनाया हुआ उसका सूचक वह चित्र जिसमें देश, नगर, नदी, पहाड़ आदि दिखाए गए हों ',past
'वह व्यक्ति जिसका त्याग किया गया हो ',present
'पत्तों का बना, कटोरे के आकार का पात्र ',neutral
'वह जिसे कोई रोग हुआ हो ',present
'स्याही सोखने वाला एक खुरदुरा कागज ',neutral
'महल में आमोद-प्रमोद या भोगविलास के किए बना हुआ स्थान ',future
'बाँस या लोहे आदि की छड़ को कुछ झुकाकर उसके दोनों सिरों के बीच डोरी बाँधकर बनाया हुआ अस्त्र, जिससे तीर चलाते हैं ',past
'युद्धरत दोनों दलों के बीच कुछ नियत समय के लिए युद्ध बंद करने के लिए की जाने या होने वाली संधि ',past
'+ गणना में साठ के स्थान पर आने वाला साल ',future
'रेतने वाला ',neutral
'वह जो निद्रा में हो या सोया हुआ हो ',present
'+ गणना में सौ के स्थान पर आने वाला साल ',future
'शरीर और कपड़े आदि साफ़ करने के लिए क्षार,तेल आदि से बनाया हुआ एक पदार्थ ',past
'वह काव्य जिसका अभिनय किया जाए ',present
'ऐसी पुकार या कथन जिसका कोई सुनने वाला न हो ',present
'चान्द्र ज्योतिषानुसार वह व्यक्ति जिसका जन्म तब हुआ हो जब चन्द्र वृषराशि में हो ',present
'शहनाई बजाने वाला ',neutral
'पेट्रोलियम जेली से बना एक पदार्थ ',neutral
'राजाओं के बैठने, देवमूर्तियों की स्थापना आदि के लिये प्रायः काठ, सोने, चाँदी, पीतल आदि का बना हुआ एक विशेष प्रकार का आसन जो चौकी के आकार का होता है और जिसके दोनों हत्थों पर शेर के मुख की आकृति बनी होती है ',past
'होम करने का निश्चित समय ',neutral
'रॉकेट द्वारा संचालित एवं प्रक्षेप्य, स्फोटक शीर्ष वाला एक प्रक्षेप्य हथियार ',neutral
'दबाकर पकड़ने या उठाने वाला फैले मुँह का एक औज़ार ',neutral
'सप्ताह का कोई दिन ',neutral
'सेना के बल पर किया जाने वाला शासन ',future
'महाजन से कर्ज लेने पर उसके द्वारा दिया हुआ वह दस्तावेज जिस पर यह लिखा होता है कि अमुक समय के अंदर ब्याज के साथ इस कर्ज को चुकाना आदि आवश्यक है ',past
'चूल्हे के पास बना हुआ थोड़ा ऊँचा स्थान ',future
'शराब पीकर होने वाला मतवालापन ',neutral
'वह जिसे शीतमेह हुआ हो ',present
'हर हफ्ते निकलने वाला नियतकालिक ',neutral
'समुद्र मार्ग से सर्वप्रथम भारत आने वाला एक पुर्तगाली नागरिक ',future
'मन से गढ़ा हुआ या किसी वास्तविक घटना के आधार पर प्रस्तुत किया हुआ मौखिक या लिखित विवरण जिसका मुख्य उद्देश्य पाठकों का मनोरंजन करना, उन्हें कोई शिक्षा देना अथवा किसी वस्तु-स्थिति से परिचित कराना होता है ',past
